Date,gross_return,strategy_return,turnover,transaction_cost,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2025-08-28,0.008980879291928812,0.008980879291928812,0.0,0.0,13580.52951768445,13702.8101935476,-0.1809555389020142,231.9039306640625,228.80868225097657,220.02203445434571,1.0,1.0,0.0,0.008980879291928812,18443.003858903412,-0.0989668452086716
2025-08-29,-0.0018060204541949787,-0.0018060204541949787,0.0,0.0,13556.002803596713,13678.062638058102,-0.18243474995165232,231.485107421875,229.68221130371094,220.05186431884766,1.0,1.0,0.0,-0.0018060204541949787,18409.695416697432,-0.10059412951613278
2025-09-02,-0.01042469754672981,-0.01042469754672981,0.0,0.0,13414.685574426598,13535.472972031119,-0.1909576204081228,229.0719451904297,230.19276733398436,220.08319168090821,1.0,1.0,0.0,-0.01042469754672981,18217.779910050944,-0.10997016368768031
2025-09-03,0.038089829254487784,0.038089829254487784,0.0,0.0,13925.648657459147,14051.03682641452,-0.1601413343098237,237.79725646972656,232.01960144042968,220.15814559936524,1.0,1.0,0.0,0.038089829254487784,18911.692036220622,-0.07606907919114436
2025-09-04,0.005493355773038333,0.005493355773038333,0.0,0.0,14002.147199904904,14128.224170682077,-0.15552769186011817,239.1035614013672,233.8723602294922,220.23520935058593,1.0,1.0,0.0,0.005493355773038333,19015.580688845715,-0.07099359793343052
2025-09-05,-0.000375433370914946,-0.000375433370914946,0.0,0.0,13996.890326581597,14122.919963856637,-0.15584473494540751,239.0137939453125,235.2943328857422,220.2964225769043,1.0,1.0,0.0,-0.000375433370914946,19008.441605287797,-0.07134237793855991
2025-09-08,-0.0075513878695669945,-0.0075513878695669945,0.0,0.0,13891.19437875779,14016.272317358704,-0.1622192787739718,237.2089080810547,236.43909301757813,220.36460914611817,1.0,1.0,0.0,-0.0075513878695669945,18864.901489930257,-0.07835503184077552
2025-09-09,-0.014839387013392713,-0.014839387013392713,0.0,0.0,13685.057569293138,13808.279427956317,-0.17465143112860415,233.68887329101562,237.36247863769532,220.4001914215088,1.0,1.0,0.0,-0.014839387013392713,18584.95791575165,-0.09203167821223646
2025-09-10,-0.032259477843797124,-0.032259477843797124,0.0,0.0,13243.584757845438,13362.831543689199,-0.20127674499952053,226.1501922607422,235.03306579589844,220.39678855895997,1.0,1.0,0.0,-0.032259477843797124,17985.416877640557,-0.1213222621718184
2025-09-11,0.014286370691166894,0.014286370691166894,0.0,0.0,13432.787518975903,13553.737908605961,-0.18986588849892838,229.3810577392578,233.08856506347655,220.4059629058838,1.0,1.0,0.0,0.014286370691166894,18242.3632101897,-0.1087691462911291
2025-09-12,0.01756302603182114,0.01756302603182114,0.0,0.0,13668.707915851599,13791.782560323289,-0.1756374820093688,233.40968322753906,231.96774291992188,220.4376650238037,1.0,1.0,0.0,0.01756302603182114,18562.754310132197,-0.09311643560707805
2025-09-15,0.011235794928029508,0.011235794928029508,0.0,0.0,13822.28671492524,13946.744200863055,-0.1663751138108721,236.0322265625,231.73240661621094,220.47577278137206,1.0,1.0,0.0,0.011235794928029508,18771.32161086024,-0.08292687785395869
2025-09-16,0.006125955224930424,0.006125955224930424,0.0,0.0,13906.961424447025,14032.1813313711,-0.1612683650836897,237.4781494140625,232.49026184082032,220.50620544433593,1.0,1.0,0.0,0.006125955224930424,18886.313886561136,-0.07730892896970498
2025-09-17,0.003527257082143187,0.003527257082143187,0.0,0.0,13956.014852622498,14081.676442350097,-0.1583099429844136,238.3157958984375,234.9233825683594,220.5299457550049,1.0,1.0,0.0,0.003527257082143187,18952.93077097309,-0.07405436035478297
2025-09-18,-0.004644626316983702,-0.004644626316983702,0.0,0.0,13891.194378757791,14016.27231735871,-0.1622192787739717,237.2089080810547,236.48895263671875,220.54879760742188,1.0,1.0,0.0,-0.004644626316983702,18864.901489930257,-0.07835503184077552
