Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown
2015-04-20,28.346832275390625,27.949288749694823,,0.0,0.0,0.022845908527996617,0.0,0.022845908527996617,0.0,0.0,10000.0,11717.147093561893,0.0,-0.04060156258624015
2015-04-21,28.19354248046875,27.945956325531007,,0.0,0.0,-0.005407651671010649,-0.0,-0.005407651671010649,0.0,0.0,10000.0,11653.784843501915,0.0,-0.04578965514948563
2015-04-22,28.573429107666016,27.967394256591795,,0.0,0.0,0.013474242460323582,0.0,0.013474242460323582,0.0,0.0,10000.0,11810.810766063703,0.0,-0.03293239360482092
2015-04-23,28.80669403076172,28.037261867523192,,0.0,0.0,0.008163700696081966,0.0,0.008163700696081966,0.0,0.0,10000.0,11907.23069013591,0.0,-0.025037543113334282
2015-04-24,28.94221305847168,28.104352760314942,,0.0,0.0,0.004704428337567901,0.0,0.004704428337567901,0.0,0.0,10000.0,11963.247403616544,0.0,-0.02045090210309175
2015-04-27,29.468704223632812,28.2087646484375,,0.0,0.0,0.018191116349584924,0.0,0.018191116349584924,0.0,0.0,10000.0,12180.872229054603,0.0,-0.002631810493118114
2015-04-28,29.004404067993164,28.255305576324464,,0.0,0.0,-0.01575570313903718,-0.0,-0.01575570313903718,0.0,0.0,10000.0,11988.954022239075,0.0,-0.018346047607307625
2015-04-29,28.57787322998047,28.302069091796874,,0.0,0.0,-0.014705726654917872,-0.0,-0.014705726654917872,0.0,0.0,10000.0,11812.64774150965,0.0,-0.032781982300914225
2015-04-30,27.80255126953125,28.312065505981444,,0.0,0.0,-0.027130149056573072,-0.0,-0.027130149056573072,0.0,0.0,10000.0,11492.168847529701,0.0,-0.05902275129129364
2015-05-01,28.6467342376709,28.352386283874512,,0.0,0.0,0.03036350728951942,0.0,0.03036350728951942,0.0,0.0,10000.0,11841.111400104059,0.0,-0.03045138174085482
2015-05-04,28.591197967529297,28.36738109588623,,0.0,0.0,-0.0019386597327583077,-0.0,-0.0019386597327583077,0.0,0.0,10000.0,11818.155514241571,0.0,-0.03233100660602528
2015-05-05,27.946958541870117,28.365048503875734,,0.0,0.0,-0.0225327888111172,-0.0,-0.0225327888111172,0.0,0.0,10000.0,11551.859511902225,0.0,-0.054135287673238164
2015-05-06,27.771455764770508,28.358494758605957,,0.0,0.0,-0.006279852486869797,-0.0,-0.006279852486869797,0.0,0.0,10000.0,11479.315538218436,0.0,-0.06007517853918576
2015-05-07,27.9432315826416,28.349866771697997,,0.0,0.0,0.0061853371795150824,0.0,0.0061853371795150824,0.0,0.0,10000.0,11550.318975412363,0.0,-0.05426142659505506
2015-05-08,28.469709396362305,28.361564350128173,,0.0,0.0,0.018840978079563087,0.0,0.018840978079563087,0.0,0.0,10000.0,11767.93828204007,0.0,-0.03644278686453517
2015-05-11,28.179691314697266,28.361537837982176,,0.0,0.0,-0.010186899965410112,-0.0,-0.010186899965410112,0.0,0.0,10000.0,11648.059471961808,0.0,-0.046258447805695546
2015-05-12,28.079313278198242,28.362602043151856,,0.0,0.0,-0.0035620701227011553,-0.0,-0.0035620701227011553,0.0,0.0,10000.0,11606.568267329285,0.0,-0.04965574209354562
2015-05-13,28.110546112060547,28.359895992279053,,0.0,0.0,0.0011123076106904772,0.0,0.0011123076106904772,0.0,0.0,10000.0,11619.478341547034,0.0,-0.04859866694270021
2015-05-14,28.766399383544922,28.396758460998534,,0.0,0.0,0.023331217717004415,0.0,0.023331217717004415,0.0,0.0,10000.0,11890.574920491685,0.0,-0.026401315304892203
2015-05-15,28.726245880126953,28.44738636016846,,0.0,0.0,-0.001395847387175575,-0.0,-0.001395847387175575,0.0,0.0,10000.0,11873.977492556902,0.0,-0.02776031048508132
2015-05-18,29.04302215576172,28.48219585418701,,0.0,0.0,0.011027416424570502,0.0,0.011027416424570502,0.0,0.0,10000.0,12004.916786983304,0.0,-0.01703901856430523
2015-05-19,29.016250610351562,28.523331260681154,,0.0,0.0,-0.0009217892430951613,-0.0,-0.0009217892430951613,0.0,0.0,10000.0,11993.850783824812,0.0,-0.0179451014233748
2015-05-20,29.014020919799805,28.545360851287843,,0.0,0.0,-7.684282100051121e-05,-0.0,-7.684282100051121e-05,0.0,0.0,10000.0,11992.929142495923,0.0,-0.018020565292158897
2015-05-21,29.31072235107422,28.570562267303465,,0.0,0.0,0.010226139703095605,0.0,0.010226139703095605,0.0,0.0,10000.0,12115.570511356413,0.0,-0.007978706407269609
2015-05-22,29.567262649536133,28.60181474685669,,0.0,0.0,0.008752438626014047,0.0,0.008752438626014047,0.0,0.0,10000.0,12221.611298676205,0.0,0.0
2015-05-26,28.915864944458008,28.57417278289795,,0.0,0.0,-0.02203104537607048,-0.0,-0.02203104537607048,0.0,0.0,10000.0,11952.356425586375,0.0,-0.02203104537607048
2015-05-27,29.455717086791992,28.596738433837892,27.438505668640136,1.0,0.0,0.018669755975515123,0.0,0.018669755975515123,0.0,0.0,10000.0,12175.504003384453,0.0,-0.0037726036416120268
2015-05-28,29.39771842956543,28.63773069381714,27.49055679321289,1.0,1.0,-0.0019690118918398447,-0.0029690118918398447,-0.0019690118918398447,1.0,0.001,9970.3098810816,12151.530291212644,-0.0029690118918399566,-0.005734187232018462
2015-05-29,29.063100814819336,28.700758171081542,27.546077175140383,1.0,1.0,-0.011382434849419032,-0.011382434849419032,-0.011382434849419032,0.0,0.0,9856.823478431672,12013.216289352176,-0.014317652156832783,-0.017051353068854525
2015-06-01,29.121095657348633,28.72447624206543,27.602155380249023,1.0,1.0,0.0019954802104160674,0.0019954802104160674,0.0019954802104160674,0.0,0.0,9876.492574620446,12037.188424721026,-0.012350742537955428,-0.015089898496048249
