Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,model_forecast,entry_price,exit_price,long_forecast_price,cash_forecast_price
2015-04-02,27.84031867980957,27.852874565124512,,0.0,0.0,0.0086113444396811,0.0,0.0086113444396811,0.0,0.0,10000.0,11507.779985214327,0.0,-0.0577445134249181,CASH,,,,27.84031867980957
2015-04-06,28.29130172729492,27.861205768585204,,0.0,0.0,0.0161989182908461,0.0,0.0161989182908461,0.0,0.0,10000.0,11694.19357290385,0.0,-0.0424809937887868,CASH,,,,28.29130172729492
2015-04-07,27.99361038208008,27.84865427017212,,0.0,0.0,-0.0105223629539689,-0.0,-0.0105223629539689,0.0,0.0,10000.0,11571.143023675784,0.0,-0.052556356307465,CASH,,,,27.99361038208008
2015-04-08,27.902530670166016,27.86076192855835,,0.0,0.0,-0.00325358932524,-0.0,-0.00325358932524,0.0,0.0,10000.0,11533.495276253128,0.0,-0.0556389488328495,CASH,,,,27.902530670166016
2015-04-09,28.11579132080078,27.90874691009521,,0.0,0.0,0.0076430576550816,0.0,0.0076430576550816,0.0,0.0,10000.0,11621.646445614142,0.0,-0.0484211428715655,CASH,,,,28.11579132080078
2015-04-10,28.23575782775879,27.93818244934082,,0.0,0.0,0.0042668728612043,0.0,0.0042668728612043,0.0,0.0,10000.0,11671.234533435443,0.0,-0.0443608768707884,CASH,,,,28.23575782775879
2015-04-13,28.180221557617188,27.9743935585022,,0.0,0.0,-0.001966877265359,-0.0,-0.001966877265359,0.0,0.0,10000.0,11648.278647572955,0.0,-0.0462405017359589,CASH,,,,28.180221557617188
2015-04-14,28.058029174804688,27.989388465881348,,0.0,0.0,-0.0043361044043839,-0.0,-0.0043361044043839,0.0,0.0,10000.0,11597.770495225725,0.0,-0.0503761024971046,CASH,,,,28.058029174804688
2015-04-15,28.1646671295166,27.986500549316407,,0.0,0.0,0.0038006217060915,0.0,0.0038006217060915,0.0,0.0,10000.0,11641.849233512145,0.0,-0.0467669412996321,CASH,,,,28.1646671295166
2015-04-16,28.029150009155277,27.960952758789062,,0.0,0.0,-0.0048116002840774,-0.0,-0.0048116002840774,0.0,0.0,10000.0,11585.833308432992,0.0,-0.0513535177556666,CASH,,,,28.029150009155277
2015-04-17,27.71368789672852,27.93040599822998,,0.0,0.0,-0.0112547869744076,-0.0,-0.0112547869744076,0.0,0.0,10000.0,11455.437222625582,0.0,-0.0620303318273478,CASH,,,,27.71368789672852
2015-04-20,28.346832275390625,27.949288749694823,,0.0,0.0,0.0228459085279966,0.0,0.0228459085279966,0.0,0.0,10000.0,11717.147093561893,0.0,-0.0406015625862401,CASH,,,,28.346832275390625
2015-04-21,28.19354248046875,27.945956325531007,,0.0,0.0,-0.0054076516710106,-0.0,-0.0054076516710106,0.0,0.0,10000.0,11653.784843501917,0.0,-0.0457896551494856,CASH,,,,28.19354248046875
2015-04-22,28.573429107666016,27.967394256591795,,0.0,0.0,0.0134742424603235,0.0,0.0134742424603235,0.0,0.0,10000.0,11810.810766063703,0.0,-0.0329323936048209,CASH,,,,28.573429107666016
2015-04-23,28.80669403076172,28.037261867523192,,0.0,0.0,0.0081637006960819,0.0,0.0081637006960819,0.0,0.0,10000.0,11907.23069013591,0.0,-0.0250375431133342,CASH,,,,28.80669403076172
2015-04-24,28.94221305847168,28.104352760314946,,0.0,0.0,0.0047044283375679,0.0,0.0047044283375679,0.0,0.0,10000.0,11963.247403616544,0.0,-0.0204509021030917,CASH,,,,28.94221305847168
2015-04-27,29.46870422363281,28.2087646484375,,0.0,0.0,0.0181911163495849,0.0,0.0181911163495849,0.0,0.0,10000.0,12180.872229054605,0.0,-0.0026318104931181,CASH,,,,29.46870422363281
2015-04-28,29.004404067993164,28.255305576324464,,0.0,0.0,-0.0157557031390371,-0.0,-0.0157557031390371,0.0,0.0,10000.0,11988.954022239075,0.0,-0.0183460476073076,CASH,,,,29.004404067993164
2015-04-29,28.57787322998047,28.302069091796877,,0.0,0.0,-0.0147057266549178,-0.0,-0.0147057266549178,0.0,0.0,10000.0,11812.64774150965,0.0,-0.0327819823009142,CASH,,,,28.57787322998047
